Data;Entrada Empresa;Saida Intervalo;Entrada Intervalo;Saida Empresa;Entrada Extra;Saida Extra;Saldo
23/04/15				;12:13;13:37;14:37;18:12;18:23;19:34; -01:50;
24/04/15				;12:19;12:42;13:20;17:01;19:33;22:19; -01:10;
27/04/15				;10:48;14:50;15:27;20:45;;; 01:20;
28/04/15				;12:13;13:00;14:09;15:43;16:12;21:04; -00:47;
29/04/15				;10:59;14:34;15:10;21:14;;; 01:39;
30/04/15				;14:56;20:55;;;;; -02:01;
02/03/15				;09:11;12:10;13:10;15:30;16:00;19:33; 00:52;
03/03/15				;09:55;13:03;13:50;14:40;15:00;19:55; 00:53;
04/03/15				;10:30;12:15;13:15;21:18;;; 01:48;
05/03/15				;09:50;13:15;14:10;20:50;;; 02:05;
06/03/15				;12:25;12:40;13:35;19:52;;; -01:28;
09/03/15				;10:06;12:36;13:20;18:42;18:49;19:47; 00:50;
10/03/15				;11:04;12:45;13:43;21:39;;; 01:37;
11/03/15				;10:15;12:35;13:18;17:34;18:20;21:44; 02:00;
12/03/15				;10:39;13:06;14:15;18:27;;; -01:21;
13/03/15				;09:38;12:43;13:32;16:35;;; -01:52;
16/03/15				;09:26;12:33;13:54;20:46;;; 01:59;
17/03/15				;12:15;13:23;13:59;20:07;;; -00:44;
18/03/15				;10:46;12:55;13:46;20:32;;; 00:55;
19/03/15				;10:41;12:21;13:21;20:49;;; 01:08;
20/03/15				;09:23;12:46;13:58;20:25;;; 01:50;
23/03/15				;11:00;13:01;14:32;16:23;16:41;20:56; 00:07;
24/03/15				;10:35;12:44;13:28;21:21;;; 02:02;
25/03/15				;10:49;12:48;13:37;16:22;16:48;21:51; 01:47;
26/03/15				;10:42;12:56;14:14;19:32;20:04;20:42; 00:10;
27/03/15				;15:32;19:52;;;;; -03:40;
30/03/15				;11:38;12:26;13:24;21:42;;; 01:06;
31/03/15				;10:02;13:47;14:23;20:00;;; 01:22;
13/02/15				;12:15;12:35;13:53;22:05;;; 00:32;
19/02/15				;13:05;13:47;14:47;20:58;;; -01:07;
20/02/15				;14:15;19:40;;;;; -02:35;

Saldo total: 36:45;
